0,01,"Agricultura, ramaderia, caça i activitats dels serveis que s'hi relacionen",AA
1,02,"Silvicultura, explotació forestal i activitats dels serveis que s'hi relacionen",AA
2,05,"Pesca, aqüicultura i activitats dels serveis que s'hi relacionen",BB
3,10,"Extracció i aglomeració d'antracita, hulla, lignit i torba",CA
4,11,"Extracció de petroli brut i de gas natural; activitats dels serveis relacionats amb les explotacions petrolíferes i de gas, excepte les activitats de prospecció",CA
5,12,"Extracció de minerals d'urani i de tori",CA
6,13,"Extracció de minerals metàl·lics",CB
7,14,"Extracció de minerals no metàl·lics ni energètics",CB
8,15,"Indústries de productes alimentaris i begudes",DA
9,16,"Indústries del tabac",DA
10,17,"Indústries tèxtils",DB
11,18,"Indústries de la confecció i de la pelleteria",DB
12,19,"Preparació, adob i acabament del cuir; fabricació d'articles de marroquineria i viatge; articles de guarnicioneria, talabarderia i sabateria",DC
13,20,"Indústries de la fusta i del suro, excepte mobles; cistelleria i esparteria",DD
14,21,"Indústries del paper",DE
15,22,"Edició, arts gràfiques i reproducció de suports enregistrats",DE
16,23,"Coqueries, refinació de petroli i tractament de combustibles nuclears",DF
17,24,"Indústries químiques",DG
18,25,"Fabricació de productes de cautxú i matèries plàstiques",DH
19,26,"Fabricació d'altres productes minerals no metàl·lics",DI
20,27,"Metal·lúrgia",DJ
21,28,"Fabricació de productes metàl·lics, excepte maquinària i equips",DJ
22,29,"Indústries de la construcció de maquinària i equips mecànics",DK
23,30,"Fabricació de màquines d'oficina i equips informàtics",DL
24,31,"Fabricació de maquinària i materials elèctrics",DL
25,32,"Fabricació de materials electrònics; fabricació d'equips i aparells de ràdio, televisió i comunicacions",DL
26,33,"Fabricació d'equips i instruments medicoquirúrgics, de precisió, òptica i rellotgeria",DL
27,34,"Fabricació de vehicles de motor, remolcs i semiremolcs",DM
28,35,"Fabricació d'altres materials de transport",DM
29,36,"Fabricació de mobles; altres indústries manufactureres",DN
30,37,"Reciclatge",DN
31,40,"Producció i distribució d'energia elèctrica, gas, vapor i aigua calenta",EE
32,41,"Captació, potabilització i distribució d'aigua",EE
33,45,"Construcció",FF
34,50,"Venda, manteniment i reparació de vehicles de motor, motocicletes i ciclomotors; venda al detall de combustible per a vehicles de motor",GG
35,51,"Comerç a l'engròs i intermediaris del comerç, excepte vehicles de motor i motocicletes",GG
36,52,"Comerç al detall, excepte el comerç de vehicles de motor, motocicletes i ciclomotors; reparació d'efectes personals i efectes domèstics",GG
37,55,"Hoteleria",HH
38,60,"Transport terrestre; transport per canonades",II
39,61,"Transport marítim, de cabotatge i per vies de navegació interiors",II
40,62,"Transport aeri i espacial",II
41,63,"Activitats afins al transport; activitats d'agències de viatges",II
42,64,"Correus i telecomunicacions",II
43,65,"Mediació financera, excepte assegurances i plans de pensions",JJ
44,66,"Assegurances i plans de pensions, excepte la Seguretat Social obligatòria",JJ
45,67,"Activitats auxiliars de la mediació financera",JJ
46,70,"Activitats immobiliàries",KK
47,71,"Lloguer de maquinària i equips sense operari, d'efectes personals i efectes domèstics",KK
48,72,"Activitats informàtiques",KK
49,73,"Recerca i desenvolupament",KK
50,74,"Altres activitats empresarials",KK
51,75,"Administració pública, defensa i Seguretat Social obligatòria",LL
52,80,"Educació",MM
53,85,"Activitats sanitàries i veterinàries, serveis socials",NN
54,90,"Activitats de sanejament públic",OO
55,91,"Activitats associatives",OO
56,92,"Activitats recreatives, culturals i esportives",OO
57,93,"Activitats diverses de serveis personals",OO
58,95,"Activitats de les llars que ocupen personal domèstic",PP
59,96,"Activitats de les llars que produeixen béns per a ús propi",PP
60,97,"Activitats de les llars que produeixen serveis per a ús propi",PP
61,99,"Organismes extraterritorials",QQ
