__id,data_final,data_inici,num_grup
row-nfce_4yx6-y4hp,2024-11-28,2024-11-26,16
row-mnc7.zubt~2y8j,2024-11-22,2024-11-19,1
row-qjt5~zqy3-wckf,2024-11-29,2024-11-22,24
row-vuz5~th6d~txyx,2024-11-28,2024-11-25,4
row-89x2.irh2~rfa8,2024-11-24,2024-11-23,1
row-7mt4~ziv3-edpb,2024-11-22,2024-11-21,2
row-sh4j_rgi8~hr9q,2024-11-29,2024-11-26,2
row-rw8s~jczv~f8i7,2024-11-19,2024-11-18,4
row-ym9d-247x.ccsj,2024-11-21,2024-11-18,3
row-2p6s.um6m.bs4r,2024-11-29,2024-11-25,1
row-mbsn_5rqs_q822,2024-11-21,2024-11-18,1
row-6rgg_6w9i~huyp,2024-11-19,2024-11-18,9
row-n62f_ee8c~frpb,2024-11-28,2024-11-25,1
row-k72b.3a4m.u3px,2024-11-29,2024-11-22,10
row-d5pb-xjh2-t2xu,2024-11-27,2024-11-18,4
row-wn8f_393w~2xwx,2024-11-29,2024-11-25,3
row-fzyt-5rae.sa76,2024-11-23,2024-11-23,15
row-9hkm_trwf~5c9p,2024-11-22,2024-11-18,27
row-7j8m~5rfa~77eg,2024-11-27,2024-11-22,3
row-9bvz_ykra.hc8v,2024-11-25,2024-11-18,9
row-ktm8.e73t~7gh6,2024-11-29,2024-11-25,27
row-dssy-x3iy.hce4,2024-11-23,2024-11-23,1
row-gt5c.uqer~2cua,2024-11-27,2024-11-18,1
row-zcqp~9ns2.mds3,2024-11-23,2024-11-23,1
row-i8sy-vxhr-cc7u,2024-11-28,2024-11-28,1
row-wsnv.f2t5~pmb2,2024-11-28,2024-11-25,4
row-wzt6-qnub-xck7,2024-11-26,2024-11-22,3
row-i87z~x73s-kj6x,2024-11-26,2024-11-25,4
row-nbt8_dqqi.u8cw,2024-11-28,2024-11-25,1
row-vej4-frir.4xwi,2024-11-21,2024-11-18,1
row-2azq.2qyc~m5t4,2024-11-22,2024-11-18,1
row-k9bx~na2v_dppp,2024-11-29,2024-11-26,1
row-ga9a_u6vx-2iyt,2024-11-29,2024-11-25,1
row-akjw-q7ps-yx6x,2024-11-21,2024-11-18,1
row-atab.4xm3_7985,2024-11-27,2024-11-27,10
row-nghs~74uv-yjis,2024-11-28,2024-11-25,1
row-t2su.ktk9~pfbc,2024-11-29,2024-11-18,5
row-c4ph-7qdx.2khh,2024-11-27,2024-11-20,4
row-n65w_wp23-hdhu,2024-11-29,2024-11-28,15
row-jmtt.k7iu_m922,2024-11-25,2024-11-19,15
row-y57f.8b7g~9w5v,2024-11-29,2024-11-18,5
row-r8hx~id8w~7eti,2024-11-27,2024-11-26,3
row-nfy6_f44r_thp3,2024-11-29,2024-11-25,6
row-jm94.jdhg_j94u,2024-11-28,2024-11-19,49
row-vz5v~xqvg-bcx6,2024-12-11,2024-11-25,6
row-n3wn-ztfs-3yv7,2024-11-27,2024-11-18,3
row-4dxx_6c9v~mm23,2024-12-11,2024-11-20,2
row-6gug-tvms.hr3x,2024-12-09,2024-11-25,6
row-snvi~4ksu_78kj,2024-12-05,2024-11-18,1
row-dmrh~bjw4.7ajt,2024-12-11,2024-12-05,6
row-7ecj.e5c3_skbg,2024-12-11,2024-12-06,6
row-7a7r-6p7x.hx83,2024-11-29,2024-11-20,1
row-s9ce.cwjq~ztgm,2024-12-11,2024-11-25,5
row-3b42~d8i3-rjnv,2024-12-05,2024-11-26,1
row-dvds~p2gr.ysvj,2024-12-09,2024-11-28,1
row-zk2c.yx2t~rpi3,2024-11-21,2024-11-20,3
row-utik~53im~qs8y,2024-11-24,2024-11-23,4
row-dvgs.2za6_2rc3,2024-11-22,2024-11-20,1
row-ftpi~33m4-z27t,2024-12-10,2024-11-28,1
row-7igh_t3f3.2y2m,2024-11-29,2024-11-25,5
row-fhv5-4yce_53xe,2024-11-24,2024-11-19,2
row-pyhr.7tnp.r7dk,2024-11-26,2024-11-25,1
row-3eir-967a.jwqk,2024-11-29,2024-11-22,23
row-aht9.322u_jfhk,2024-11-29,2024-11-26,24
row-8kvz_yd9h.6v6v,2024-11-27,2024-11-20,1
row-w3pr.yzd2~ngmt,2024-11-28,2024-11-18,3
row-npxa~ymre.ic6b,2024-11-28,2024-11-19,29
row-firp~aknw.au4u,2024-12-11,2024-11-18,2
row-nrku_hcv8.w942,2024-11-21,2024-11-20,12
row-mhbu.vck4.5fsj,2024-12-09,2024-11-21,5
row-kj75_nz4w~zjse,2024-11-21,2024-11-19,3
row-jwpv_u8m7.pdhu,2024-11-29,2024-11-21,21
row-pwtx_pqcc_5sc6,2024-11-27,2024-11-19,6
row-f3d4-92x7~z7s3,2024-11-29,2024-11-20,4
row-8hue~srng~thpi,2024-11-28,2024-11-25,4
row-2xv8_fa9j.4pxs,2024-11-22,2024-11-22,9
row-k6cp~czjq-7bkn,2024-11-29,2024-11-18,3
row-rtni-bg2z~8uk3,2024-11-28,2024-11-19,2
row-c7vz-xfwg-cvbf,2024-11-29,2024-11-20,4
row-2u9j.4wwi~dr4v,2024-11-29,2024-11-18,8
row-g6sf-wg6x-ysgi,2024-11-27,2024-11-18,1
row-mqp6~erj5~iu9h,2024-11-29,2024-11-20,11
row-ggh9_azbi-jnb4,2024-11-25,2024-11-23,7
row-9min~wp48.jatn,2024-11-25,2024-11-18,3
row-6ixq~bhii.z4pz,2024-11-29,2024-11-18,4
row-kd4q_92p3.3j78,2024-11-29,2024-11-18,10
row-7ydi.qs3u-ap52,2024-11-29,2024-11-18,4
row-g9vk_c7rk_hpqt,2024-11-28,2024-11-25,8
row-jght~q9if_bjve,2024-11-29,2024-11-18,8
row-xjwt_rhmi_2ehv,2024-11-29,2024-11-19,6
row-p6ea~mr5f_hcqh,2024-11-29,2024-11-18,9
row-39mc.uctf~vpus,2024-11-29,2024-11-18,2
row-ssub-ff84.jhks,2024-11-29,2024-11-19,9
row-p9xg~hbhi.csg8,2024-11-29,2024-11-18,3
